customer_name,contact_name,lat,lng,tags
Custer,Custer,43.7666507,-103.5988057,SD
Mount Vernon,Mount Vernon,43.7105415,-98.2603594,SD
Colton,Colton,43.7860862,-96.9275557,SD
Crooks,Crooks,43.6646974,-96.8108859,SD
Dell Rapids,Dell Rapids,43.8260842,-96.7061609,SD
Biddeford,Biddeford,43.4925843,-70.4533844,ME
Saco,Saco,43.5009176,-70.4428286,ME
White Cloud,White Cloud,43.5502974,-85.7719971,MI
Glens Falls,Glens Falls,43.3095164,-73.6440058,NY
Colome,Colome,43.2605567,-99.7151134,SD
Fulton,Fulton,43.3228462,-76.4171585,NY
Oswego,Oswego,43.4553461,-76.5104973,NY
Rome,Rome,43.2128473,-75.4557304,NY
Sherrill,Sherrill,43.0736798,-75.5982354,NY
Zilwaukee,Zilwaukee,43.4764138,-83.9205291,MI
Algona,Algona,43.0699663,-94.233019,IA
Dante,Dante,43.0386053,-98.1842432,SD
Pickstown,Pickstown,43.0672168,-98.5320265,SD
Chancellor,Chancellor,43.3722033,-96.986997,SD
Davis,Davis,43.2574838,-96.9956061,SD
Dolton,Dolton,43.4908161,-97.3856189,SD
Parker,Parker,43.3974827,-97.1364454,SD
Dimock,Dimock,43.4741517,-97.9856277,SD
Olivet,Olivet,43.240824,-97.6753449,SD
Parkston,Parkston,43.3988755,-97.9836831,SD
Corsica,Corsica,43.4252676,-98.4073023,SD
Delmont,Delmont,43.2674898,-98.1622978,SD
Dallas,Dallas,43.2361121,-99.517053,SD
Oelrichs,Oelrichs,43.1788648,-103.2307532,SD
Whitehall,Whitehall,43.4100107,-86.3486792,MI
Auburn,Auburn,42.9317335,-76.5660529,NY
Mechanicville,Mechanicville,42.9028547,-73.6873405,NY
Saratoga Springs,Saratoga Springs,43.0831301,-73.7845651,NY
Lockport,Lockport,43.1706128,-78.6903098,NY
Niagara Falls,Niagara Falls,43.0944999,-79.0567111,NY
North Tonawanda,North Tonawanda,43.038668,-78.8642034,NY
Rochester,Rochester,43.1547845,-77.6155568,NY
Wyoming,Wyoming,42.9133602,-85.7053085,MI
Gloversville,Gloversville,43.0528506,-74.3437467,NY
Johnstown,Johnstown,43.0067399,-74.3676357,NY
Fairmount,Fairmount,43.0472886,-76.2385383,NY
Syracuse,Syracuse,43.0481221,-76.1474244,NY
Clear Lake,Clear Lake,43.1380151,-93.3793725,IA
Mason City,Mason City,43.1535728,-93.2010367,IA
